300,-1638848839
225,-1638848838
168.75,-1638848837
126.562,-1638848836
94.9219,-1638848835
71.1914,-1638848834
53.3936,-1638848833
40.0452,-1638848832
30.0339,-1638848831
22.5254,-1638848830
16.8941,-1638848829
12.6705,-1638848828
9.50291,-1638848827
7.12718,-1638848826
5.34538,-1638848825
4.00904,-1638848824
3.00678,-1638848823
2.25508,-1638848822
1.69131,-1638848821
1.26848,-1638848820
0.951364,-1638848819
300,11
225,12
168.75,13
126.562,14
94.9219,15
71.1914,16
53.3936,17
40.0452,18
30.0339,19
22.5254,20
16.8941,21
12.6705,22
9.50291,23
7.12718,24
5.34538,25
4.00904,26
3.00678,27
2.25508,28
1.69131,29
1.26848,30
0.951364,31
300,-1980545351
225,-1980545350
168.75,-1980545349
126.562,-1980545348
94.9219,-1980545347
71.1914,-1980545346
53.3936,-1980545345
40.0452,-1980545344
30.0339,-1980545343
22.5254,-1980545342
16.8941,-1980545341
12.6705,-1980545340
9.50291,-1980545339
7.12718,-1980545338
5.34538,-1980545337
4.00904,-1980545336
3.00678,-1980545335
2.25508,-1980545334
1.69131,-1980545333
1.26848,-1980545332
0.951364,-1980545331
300,11
225,12
168.75,13
126.562,14
94.9219,15
71.1914,16
53.3936,17
40.0452,18
30.0339,19
22.5254,20
16.8941,21
12.6705,22
9.50291,23
7.12718,24
5.34538,25
4.00904,26
3.00678,27
2.25508,28
1.69131,29
1.26848,30
0.951364,31
300,1809876665
225,1809876666
168.75,1809876667
126.562,1809876668
94.9219,1809876669
71.1914,1809876670
53.3936,1809876671
40.0452,1809876672
30.0339,1809876673
22.5254,1809876674
16.8941,1809876675
12.6705,1809876676
9.50291,1809876677
7.12718,1809876678
5.34538,1809876679
4.00904,1809876680
3.00678,1809876681
2.25508,1809876682
1.69131,1809876683
1.26848,1809876684
0.951364,1809876685
300,-1795750215
225,-1795750214
168.75,-1795750213
126.562,-1795750212
94.9219,-1795750211
71.1914,-1795750210
53.3936,-1795750209
40.0452,-1795750208
30.0339,-1795750207
22.5254,-1795750206
16.8941,-1795750205
12.6705,-1795750204
9.50291,-1795750203
7.12718,-1795750202
5.34538,-1795750201
4.00904,-1795750200
3.00678,-1795750199
2.25508,-1795750198
1.69131,-1795750197
1.26848,-1795750196
0.951364,-1795750195
300,11
225,12
168.75,13
126.562,14
94.9219,15
71.1914,16
53.3936,17
40.0452,18
30.0339,19
22.5254,20
16.8941,21
12.6705,22
9.50291,23
7.12718,24
5.34538,25
4.00904,26
3.00678,27
2.25508,28
1.69131,29
1.26848,30
0.951364,31
300,11
225,12
168.75,13
126.562,14
94.9219,15
71.1914,16
53.3936,17
40.0452,18
30.0339,19
22.5254,20
16.8941,21
12.6705,22
9.50291,23
7.12718,24
5.34538,25
4.00904,26
3.00678,27
2.25508,28
1.69131,29
1.26848,30
0.951364,31
300,-347990343
225,-347990342
168.75,-347990341
126.562,-347990340
94.9219,-347990339
71.1914,-347990338
53.3936,-347990337
40.0452,-347990336
30.0339,-347990335
22.5254,-347990334
16.8941,-347990333
12.6705,-347990332
9.50291,-347990331
7.12718,-347990330
5.34538,-347990329
4.00904,-347990328
3.00678,-347990327
2.25508,-347990326
1.69131,-347990325
1.26848,-347990324
0.951364,-347990323
300,-1586653511
225,-1586653510
168.75,-1586653509
126.562,-1586653508
94.9219,-1586653507
71.1914,-1586653506
53.3936,-1586653505
40.0452,-1586653504
30.0339,-1586653503
22.5254,-1586653502
16.8941,-1586653501
12.6705,-1586653500
9.50291,-1586653499
7.12718,-1586653498
5.34538,-1586653497
4.00904,-1586653496
3.00678,-1586653495
2.25508,-1586653494
1.69131,-1586653493
1.26848,-1586653492
0.951364,-1586653491
300,5
225,6
168.75,7
126.562,8
94.9219,9
71.1914,10
53.3936,11
40.0452,12
30.0339,13
22.5254,14
16.8941,15
12.6705,16
9.50291,17
7.12718,18
5.34538,19
4.00904,20
3.00678,21
2.25508,22
1.69131,23
1.26848,24
0.951364,25
